feature,KS_trainN_vs_testN,p_trainN_vs_testN,KS_trainN_vs_testA,p_trainN_vs_testA,gap_trainN_testN,gap_testN_testA,confound_ratio
feature_5,0.1938864428545221,6.169592830948172e-06,0.1638135292027011,1.2080607740924097e-05,0.006804398945853756,0.00020000350533821726,0.9714460288751424
feature_11,0.5424234085488902,1.9466427748112443e-45,0.5804456423014651,2.0922400151793897e-69,0.030598722822792617,0.0012746490210961414,0.9600089683846693
feature_17,0.5135525591634562,1.6710877282053895e-40,0.4888342613434427,2.1634840124257537e-48,0.02540357713898677,0.007364732389163749,0.7752483269594096
feature_1,0.0648504861493304,0.46440757828962875,0.0448900209295897,0.7432960424439631,0.1083655237220346,0.0455348551905949,0.704127725270609
feature_18,0.08929554210236654,0.131998967667654,0.18012281325277416,9.826032690397365e-07,0.07964933504903385,0.04049280908095078,0.6629591607992226
feature_4,0.13632819666116308,0.0037205835023045083,0.05797595071673972,0.4280576218975012,0.0018118202746323605,0.0010618313357997127,0.6304940613033954
feature_14,0.5396028251696936,6.076274658522374e-45,0.8187813450223117,3.4455319397607614e-150,0.10804619873031736,0.08147908351697186,0.5700885784163645
feature_6,0.1092230783342506,0.03488049484831862,0.06033546578209533,0.3790018662869357,0.0018378110937701828,0.0014141679420437252,0.56513620583972
feature_15,0.16453403045312787,0.00021351253384334077,0.03364036646526873,0.954832999087301,1.5012083679517294,1.2040261073794483,0.5549272647680382
feature_19,0.29178132452760963,5.680462519488517e-13,0.08795363898432255,0.06117886706116776,0.1547421855995488,0.1335428458832869,0.5367680201903304
feature_10,0.6356402494955055,7.454604747061477e-64,0.8695207913754295,1.764171582666018e-174,0.7870502487945432,0.7108112506126798,0.5254492815964743
feature_16,0.04006145661346542,0.9405590011368362,0.0619002487856889,0.34859119723280135,0.0013469664427797374,0.0013449106202377391,0.5003818566921652
feature_3,0.06303889194643185,0.5005073887642913,0.05322730324211192,0.5364211821690077,0.001418158237469963,0.0014645509028115582,0.49195328715385683
feature_20,0.06705191707943496,0.42249259960019525,0.07848596137898353,0.12358292181975922,0.001167455808099693,0.0012762690277717805,0.47773619638454856
feature_13,0.3818565400843882,4.1438034503224147e-22,0.5681445721281049,3.215231640633353e-66,0.011345603692902486,0.016410565680479834,0.4087597081671767
feature_2,0.09835351311685929,0.07450862262744957,0.17807921652252892,1.378954829364006e-06,0.008772251034528332,0.014776838371277566,0.3725091396682872
feature_7,0.15371032838011375,0.0006816397510067669,0.234337361292106,4.17901008724712e-11,0.005098185188828237,0.06530970378741285,0.07240928911458491
feature_12,0.04767473858007705,0.8233394470557582,0.08444891995419185,0.08005773638292532,0.0001302161393254184,0.0022889684199533565,0.05382645934390363
feature_9,0.13171895065125666,0.0056351269860332644,1.0,2.3321209194951837e-267,0.2502258522093279,13.130452609974052,0.01870053547109132
feature_8,0.4428545221060356,7.582866579100133e-30,1.0,2.3321209194951837e-267,0.24856571374039624,36.11670343355683,0.006835250214527021
