feature,VIF
feature_20,20.353301107854335
feature_8,20.08167388910442
feature_9,19.126871444250906
feature_6,18.005977379625005
feature_16,16.449017163965635
feature_3,13.677116375602731
feature_5,8.104760289372136
feature_14,6.0935713799654145
feature_13,5.650569408758424
feature_2,5.325366487216
feature_11,5.00135079347723
feature_17,4.73984280975352
feature_10,4.146113233968271
feature_19,3.7618378018354637
feature_12,3.6537114822106784
feature_4,2.191416714319665
feature_1,1.570322638398346
feature_15,1.3761168937162678
feature_7,1.248475578006342
feature_18,1.109613603881797
